End_Time,Region,Site,Sum_Volume,Avg_Volume
20250301000000,IRE,6154,1279,4.478260869565218
20250301000000,IRE,6158,1,0.0
20250301000000,IRE,6160,600,5.222222222222222
20250301000000,IRE,6161,274,4.4
20250301000000,IRE,6162,247,10.0
20250301000000,IRE,6167,298,3.8333333333333335
20250301000000,IRE,6175,334,6.5
20250301000000,IRE,6179,137,0.625
20250301000000,IRE,6180,384,1.3043478260869565
20250301000000,IRE,6183,156,1.375
20250301000000,IRE,6185,626,2.0416666666666665
20250301000000,IRE,6188,91,1.75
20250301000000,IRE,6189,434,2.0
20250301000000,IRE,6191,349,1.125
20250301000000,IRE,6192,397,1.3333333333333333
20250301000000,IRE,6194,191,0.5833333333333334
20250301000000,IRE,6195,80,1.2
20250301000000,IRE,6196,741,1.84375
20250301000000,IRE,6205,531,4.1
20250301000000,IRE,6207,269,3.0
20250301000000,IRE,6208,216,4.0
20250301000000,IRE,6210,282,3.5
20250301000000,IRE,6211,300,0.6875
20250301000000,IRE,6215,120,0.3333333333333333
20250301000000,IRE,6216,205,0.6666666666666666
20250301000000,IRE,6219,438,1.0344827586206897
20250301000000,IRE,6220,408,2.909090909090909
20250301000000,IRE,6221,0,0.0
20250301000000,IRE,6222,69,1.0
20250301000000,IRE,6225,602,1.9583333333333333
20250301000000,IRE,6226,643,3.8333333333333335
20250301000000,IRE,6229,277,0.7916666666666666
20250301000000,IRE,6235,656,2.1666666666666665
20250301000000,IRE,6240,472,1.0
20250301000000,IRE,6241,577,6.285714285714286
20250301000000,IRE,6242,87,1.25
20250301000000,IRE,6244,9,0.0
20250301000000,IRE,6245,10,0.0
20250301000000,IRE,6247,575,5.625
20250301000000,IRE,6257,222,0.6666666666666666
20250301000000,IRE,6258,35,0.3333333333333333
20250301000000,IRE,6260,1474,17.142857142857142
20250301000000,IRE,6267,164,0.3125
20250301000000,IRE,6268,69,0.8333333333333334
20250301000000,IRE,6270,104,1.75
20250301000000,IRE,6272,619,1.9583333333333333
20250301000000,IRE,6277,71,0.8333333333333334
20250301000000,IRE,6278,71,0.8333333333333334
20250301000000,IRE,6279,150,2.75
20250301000000,IRE,6280,194,3.75
20250301000000,IRE,6284,243,0.5666666666666667
20250301000000,IRE,6288,230,2.25
20250301000000,IRE,6289,337,4.166666666666667
20250301000000,IRE,6291,453,1.5
20250301000000,IRE,6293,130,0.28125
20250301000000,IRE,6297,238,2.4285714285714284
20250301000000,IRE,6299,348,0.9583333333333334
20250301000000,IRE,6300,329,0.8333333333333334
20250301000000,IRE,6306,598,1.8333333333333333
20250301000000,IRE,6309,386,1.125
20250301000000,IRE,6310,338,3.5714285714285716
20250301000000,IRE,6315,733,4.75
20250301000000,IRE,6319,77,0.625
20250301000000,IRE,6344,71,0.20833333333333334
20250301000000,IRE,6345,325,0.9583333333333334
20250301000000,IRE,6350,145,2.2
20250301000000,IRE,6352,1056,3.375
20250301000000,IRE,6360,442,0.84375
20250301000000,IRE,6361,224,0.3870967741935484
20250301000000,IRE,6362,1,0.0
20250301000000,IRE,6363,0,0.0
20250301000000,IRE,6364,23,0.041666666666666664
20250301000000,IRE,6365,47,0.75
20250301000000,IRE,6366,66,0.09375
20250301000000,IRE,6367,111,0.15625
20250301000000,IRE,6368,378,0.75
20250301000000,IRE,6370,123,2.25
20250301000000,IRE,6371,144,0.5
20250301000000,IRE,6372,71,0.20833333333333334
20250301000000,IRE,6373,141,2.0
20250301000000,IRE,6374,3,0.0
20250301000000,IRE,6375,200,0.6666666666666666
20250301000000,IRE,6376,132,0.2903225806451613
20250301000000,IRE,6377,20,0.2
20250301000000,IRE,6378,174,3.5
20250301000000,IRE,6379,46,0.0
20250301000000,IRE,6380,23,0.08333333333333333
20250301000000,IRE,6381,35,0.0
20250301000000,IRE,6382,642,1.5
20250301000000,IRE,6383,274,0.875
20250301000000,IRE,6384,39,0.041666666666666664
20250301000000,IRE,6385,192,0.5
20250301000000,IRE,6386,1434,3.7333333333333334
20250301000000,IRE,6387,298,0.5625
20250301000000,IRE,6388,128,1.25
20250301000000,IRE,6389,90,1.1666666666666667
20250301000000,IRE,6390,191,2.5
20250301000000,IRE,6392,294,0.59375
20250301000000,IRE,6394,507,1.09375
20250301000000,IRE,6395,42,0.03125
20250301000000,IRE,6396,131,0.4166666666666667
20250301000000,IRE,6398,294,0.9583333333333334
20250301000000,IRE,6400,225,0.75
20250301000000,IRE,6401,415,0.90625
20250301000000,IRE,6402,155,0.5
20250301000000,IRE,6404,180,0.5833333333333334
20250301000000,IRE,6406,150,0.5
20250301000000,IRE,6417,216,0.625
20250301000000,IRE,6420,5,0.0
20250301000000,IRE,6421,7,0.0
20250301000000,IRE,6423,130,0.3125
20250301000000,IRE3,5004,722,11.8
20250301000000,IRE3,5005,367,7.25
20250301000000,IRE3,5104,318,2.875
